ReportNumber,Date,Section,Description,Address,Person_Charged
2508755,2025-09-13,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,3690 BROADWAY,
2508717,2025-09-13,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,750 17TH ST,Yes
2508678,2025-09-12,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,4990 MOORHEAD AVE,Yes
2508659,2025-09-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4535 DARLEY AVE,Yes
2508548,2025-09-08,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,945 12TH ST,Yes
2508606,2025-09-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
2508469,2025-09-06,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1010 12TH ST,Yes
2508468,2025-09-06,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,905 EUCLID AVE,
2508446,2025-09-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,833 MARINE ST,Yes
2508439,2025-09-06,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1165 DREXEL ST,Yes
2508429,2025-09-05,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1355 BEAR MOUNTAIN DR,Yes
2508428,2025-09-05,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,440 ARAPAHOE AVE,
2508417,2025-09-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,723 MARINE ST,Yes
2508390,2025-09-05,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,700 WALNUT ST,Yes
2508132,2025-09-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,320 15TH ST,Yes
2508345,2025-09-03,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,3390 EASTMAN AVE,Yes
2508241,2025-09-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,993 E MOORHEAD CIR,
2508177,2025-08-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4998 MOORHEAD AVE,Yes
2025-CIT-00004477,2025-08-27,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,15TH/ARAPAHOE,Yes
2508039,2025-08-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3486 CRIPPLE CREEK TRL,Yes
2507849,2025-08-22,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2909 SHADY HOLLOW E,Yes
2507621,2025-08-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,801 QUINCE AVE,Yes
2507306,2025-08-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2820 6TH ST,
2507276,2025-08-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1480 CANYON BLVD,Yes
2507223,2025-08-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1460 NORWOOD AVE,
2507187,2025-08-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,910 PORTLAND PL,Yes
2507077,2025-08-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3535 19TH ST,Yes
2506628,2025-07-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3860 CARLOCK DR,Yes
2506623,2025-07-21,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,3110 BROADWAY,Yes
2506409,2025-07-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4535 DARLEY AVE,Yes
2506292,2025-07-10,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,2683 MAPLETON AVE,Yes
2506242,2025-07-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,820 CONCORD AVE,Yes
2505887,2025-06-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3100 BROADWAY,Yes
2505609,2025-06-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3735 BIRCHWOOD DR,Yes
2505354,2025-06-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3114 BROADWAY,
2505313,2025-06-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5219 PIERRE ST,Yes
2505247,2025-06-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5620 ARAPAHOE AVE,Yes
2505604,2025-06-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1745 ORCHARD AVE,Yes
2505114,2025-06-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2130 30TH ST,Yes
2505085,2025-06-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3906 PROMONTORY CT,Yes
2505041,2025-06-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1625 LOMBARDY DR,Yes
2504905,2025-05-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5610 ARAPAHOE AVE,Yes
2504708,2025-05-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED, DIAGONAL HWY,Yes
2504514,2025-05-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,GALENA WAY & LEHIGH ST,Yes
2504504,2025-05-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2339 13TH ST,Yes
2504528,2025-05-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1005 BROADWAY,Yes
2504451,2025-05-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1043 PLEASANT ST,Yes
2504344,2025-05-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1510 EISENHOWER DR,Yes
2504263,2025-05-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,875 33RD ST,
2503992,2025-05-01,Section: 5-9-8,UNREASONABLE NOISE - PROHIBITED ANY,2560 PANORAMA AVE,Yes
2503753,2025-04-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,815 37TH ST,Yes
2503608,2025-04-19,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,4504 S S HAMPTON CIR,Yes
2503507,2025-04-17,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1253 ELDER AVE,Yes
2503435,2025-04-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5397 SOUTH BOULDER RD,Yes
2503426,2025-04-14,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2807 SUNDOWN LN,Yes
2503362,2025-04-12,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1140 FAIRFIELD DR,
2503262,2025-04-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4306 19TH ST,Yes
2503257,2025-04-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1048 11TH ST,Yes
2503254,2025-04-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3390 EVERETT DR,Yes
2503259,2025-04-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3035 ONEAL PKWY,
2502790,2025-03-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4295 BROADWAY,Yes
2502691,2025-03-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1440 Pine St,Yes
2502632,2025-03-23,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,1010 12TH ST,Yes
2502628,2025-03-22,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,3395 CRIPPLE CREEK TRL,
2502616,2025-03-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1150 LINCOLN PL,Yes
2502770,2025-03-18,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,625 ALPINE AVE,
2502465,2025-03-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3505 ARTHUR CT,Yes
2502427,2025-03-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1145 GEORGETOWN RD,Yes
2502296,2025-03-14,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1334 SCRUB OAK CIR,Yes
2502302,2025-03-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4080 EVANS DR,
2502232,2025-03-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3525 SILVER PLUME CT,Yes
2501938,2025-03-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3261 AIRPORT RD,Yes
2501919,2025-03-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,972 14TH ST,Yes
2501889,2025-03-01,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2015 GRAPE AVE,
2501847,2025-02-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2716 JUNIPER AVE,
2501809,2025-02-28,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1134 10TH ST,
2501797,2025-02-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2716 JUNIPER AVE,
2501786,2025-02-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1717 Baseline Rd,Yes
2501750,2025-02-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3487 28TH ST,Yes
2501723,2025-02-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,932 ARAPAHOE AVE,Yes
2501565,2025-02-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3169 8TH ST,Yes
2501516,2025-02-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4870 DAKOTA BLVD,Yes
2501445,2025-02-16,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,3220 REDSTONE LN,Yes
2501445,2025-02-16,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,3860 CARLOCK DR,Yes
2501382,2025-02-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,626 POPLAR AVE,Yes
2501349,2025-02-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4660 RICARA DR,Yes
2501166,2025-02-08,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,993 E E MOORHEAD CIR,
2501172,2025-02-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1035 ADAMS CIR,Yes
2501133,2025-02-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3595 CLOVERLEAF DR,Yes
2501132,2025-02-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19th St,Yes
2501085,2025-02-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4894 BRANDON CREEK DR,Yes
2501079,2025-02-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1222 SCRUB OAK CIR,Yes
2501052,2025-02-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3860 CARLOCK DR,Yes
2500666,2025-01-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2725 ELM AVE,Yes
2500578,2025-01-20,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1581 JUDSON DR,
2025-CIT-00000219,2025-01-16,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,2600 CANYON BLVD,Yes
2025-CIT-00000170,2025-01-16,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,1800 33RD ST,Yes
2500451,2025-01-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,720 HIGHLAND AVE,Yes
2500427,2025-01-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1315 MEADOW AVE,Yes
2500474,2025-01-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4425 HASTINGS DR,Yes
2500286,2025-01-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3535 28TH ST,Yes
2500338,2025-01-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5514 FRIENDS PL,Yes
2500148,2025-01-06,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,1315 CASCADE AVE,Yes
2500087,2025-01-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1027 SYCAMORE AVE,Yes
2413454,2024-12-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,710 38TH ST,Yes
2413429,2024-12-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2216 GOSS CIR,Yes
2413349,2024-12-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4169 LONETREE CT,Yes
2413331,2024-12-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1441 BROADWAY,Yes
2413058,2024-12-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1905 DARTMOUTH AVE,Yes
2412979,2024-12-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4306 19TH ST,Yes
2412935,2024-12-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1510 SUMAC AVE,Yes
2412766,2024-12-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1028 JUNIPER AVE,
2412675,2024-12-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1011 10TH ST,Yes
2412631,2024-12-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1825 FOREST AVE,Yes
2412568,2024-11-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3295 BIG HORN ST,Yes
2412530,2024-11-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2701 MAPLETON AVE,Yes
2412409,2024-11-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1735 HAWTHORN PL,Yes
2412402,2024-11-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1750 15TH ST,Yes
2413434,2024-11-23,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,827 9TH ST,Yes
2412346,2024-11-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1690 IRIS AVE,Yes
2024-CIT-00004156,2024-11-14,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1035 GRANDVIEW AVE,
2411798,2024-11-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2328 WALNUT ST,Yes
2411628,2024-11-02,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,4670 MACKY WAY,
2024-CIT-00003939,2024-10-31,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,BASELINE RD/20TH ST,Yes
2411701,2024-10-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2665 MAPLETON AVE,Yes
2411410,2024-10-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4747 FRANKLIN DR,Yes
2411323,2024-10-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,985 16TH ST,Yes
2411411,2024-10-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1125 LINCOLN PL,Yes
2411284,2024-10-26,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2040 WALNUT ST,
2411272,2024-10-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1800 YAUPON AVE,Yes
2411250,2024-10-25,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2141 JONATHAN PL,
2411145,2024-10-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2950 CARNEGIE DR,Yes
2411116,2024-10-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,911 17TH ST,Yes
2410995,2024-10-19,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,555 YUMA CIR,Yes
2410995,2024-10-19,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,847 UNIVERSITY AVE,Yes
2410887,2024-10-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4490 OTTAWA PL,Yes
2410868,2024-10-16,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,5077 VALMONT RD,Yes
2410805,2024-10-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
2410774,2024-10-13,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,200 PAWNEE DR,Yes
2410713,2024-10-11,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2950 JEFFERSON ST,Yes
2410695,2024-10-11,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2002 SPRUCE ST,
2410691,2024-10-11,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,746 19TH ST,Yes
2410477,2024-10-06,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,5465 WHITE PL,
2410466,2024-10-05,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2950 CARNEGIE DR,Yes
2410456,2024-10-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,720 39TH ST,Yes
2410377,2024-10-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2002 SPRUCE ST,Yes
2410374,2024-10-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1670 LINDEN AVE,Yes
2410143,2024-09-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1382 GLEN CT,Yes
2410061,2024-09-26,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,3704 TELLURIDE CIR,
2409901,2024-09-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3725 BIRCHWOOD DR,Yes
2409635,2024-09-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1095 TANTRA PARK CIR,Yes
2409538,2024-09-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,800 IRIS AVE,Yes
2409528,2024-09-13,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,875 16TH ST,
2410849,2024-09-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1225 ALBION WAY,
2409315,2024-09-08,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,930 14TH ST,
2409107,2024-09-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3001 Spruce St,Yes
2408920,2024-08-31,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,990 35TH ST,
2408855,2024-08-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3100 34TH ST,Yes
2408778,2024-08-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED, 900 Walnut St,Yes
2408766,2024-08-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19th St,Yes
2408671,2024-08-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2420 BLUFF ST,Yes
2408579,2024-08-25,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,3051 REDSTONE LN,
2408436,2024-08-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3660 SILVER PLUME LN,Yes
2024-CIT-00003137,2024-08-22,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1101 Arapahoe Ave,
2408352,2024-08-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19th St,Yes
2024-CIT-00003088,2024-08-21,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,1321 5TH ST,Yes
2408266,2024-08-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,555 MANHATTAN DR,Yes
2408361,2024-08-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1077 ALBION WAY,Yes
2408182,2024-08-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3605 TABLE MESA DR,Yes
2408168,2024-08-17,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,3289 PALO PKWY,Yes
2408063,2024-08-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5363 AZTEC DR,Yes
2407978,2024-08-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2560 PANORAMA AVE,Yes
2407873,2024-08-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2465 20TH ST,Yes
2407687,2024-08-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4550 LAGUNA PL,Yes
2407586,2024-08-02,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,4820 MEREDITH WAY,
2407563,2024-08-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2025 16TH ST,Yes
2407352,2024-07-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,440 S LASHLEY LN,Yes
